,Model Year,City,count
0,2010,Bainbridge Island,1
1,2010,Bellevue,3
2,2010,Brush Prairie,1
3,2010,Edmonds,1
4,2010,Federal Way,1
5,2010,Freeland,1
6,2010,Issaquah,1
7,2010,Kirkland,2
8,2010,Mukilteo,1
9,2010,Newman Lake,1
10,2010,North Bend,1
11,2010,Olympia,1
12,2010,Redmond,1
13,2010,Seattle,5
14,2010,Spokane,1
15,2010,Steilacoom,1
16,2010,University Place,1
17,2011,Aberdeen,1
18,2011,Algona,1
19,2011,Anacortes,5
20,2011,Arlington,1
21,2011,Auburn,8
22,2011,Bainbridge Island,12
23,2011,Battle Ground,3
24,2011,Belfair,2
25,2011,Bellevue,24
26,2011,Bellingham,25
27,2011,Blaine,1
28,2011,Bonney Lake,1
29,2011,Bothell,13
30,2011,Bow,1
31,2011,Bremerton,6
32,2011,Brier,1
33,2011,Brush Prairie,2
34,2011,Burien,10
35,2011,Burlington,2
36,2011,Camano Island,2
37,2011,Camas,9
38,2011,Carnation,1
39,2011,Centralia,2
40,2011,Chehalis,2
41,2011,Cheney,2
42,2011,Chimacum,1
43,2011,Coupeville,1
44,2011,Covington,1
45,2011,Des Moines,1
46,2011,Dupont,1
47,2011,Eastsound,4
48,2011,Eatonville,1
49,2011,Edgewood,1
50,2011,Edmonds,4
51,2011,Ellensburg,1
52,2011,Everett,17
53,2011,Everson,1
54,2011,Fall City,2
55,2011,Federal Way,8
56,2011,Ferndale,3
57,2011,Fife,1
58,2011,Freeland,1
59,2011,Friday Harbor,5
60,2011,Gig Harbor,2
61,2011,Graham,1
62,2011,Granite Falls,1
63,2011,Greenacres,1
64,2011,Ilwaco,1
65,2011,Joint Base Lewis Mcchord,2
66,2011,Kelso,2
67,2011,Kenmore,1
68,2011,Kennewick,3
69,2011,Kent,13
70,2011,Kingston,1
71,2011,Kirkland,15
72,2011,La Center,1
73,2011,Lacey,4
74,2011,Lake Forest Park,4
75,2011,Lake Stevens,2
76,2011,Langley,3
77,2011,Longview,1
78,2011,Lummi Island,1
79,2011,Lyle,1
80,2011,Lynden,1
81,2011,Lynnwood,6
82,2011,Maple Valley,1
83,2011,Marysville,3
84,2011,Mattawa,2
85,2011,Mazama,1
86,2011,Mercer Island,5
87,2011,Mill Creek,2
88,2011,Monroe,3
89,2011,Moses Lake,4
90,2011,Mount Vernon,3
91,2011,Mountlake Terrace,3
92,2011,Moxee,1
93,2011,Mukilteo,2
94,2011,Newcastle,1
