,Model Year,county_norm,count
0,2010,Clark,1
1,2010,Island,1
2,2010,King,14
3,2010,Kitsap,1
4,2010,Pierce,2
5,2010,Snohomish,2
6,2010,Spokane,2
7,2010,Thurston,1
8,2011,Adams,1
9,2011,Benton,7
10,2011,Chelan,1
11,2011,Clallam,7
12,2011,Clark,36
13,2011,Cowlitz,3
14,2011,Franklin,4
15,2011,Grant,6
16,2011,Grays Harbor,3
17,2011,Island,8
18,2011,Jefferson,13
19,2011,King,260
20,2011,Kitsap,23
21,2011,Kittitas,1
22,2011,Klickitat,4
23,2011,Lewis,6
24,2011,Mason,2
25,2011,Okanogan,1
26,2011,Pacific,2
27,2011,Pierce,62
28,2011,San Juan,11
29,2011,Skagit,10
30,2011,Snohomish,58
31,2011,Spokane,31
32,2011,Stevens,1
33,2011,Thurston,32
34,2011,Walla Walla,1
35,2011,Whatcom,32
36,2011,Whitman,3
37,2011,Yakima,8
38,2012,Adams,1
39,2012,Asotin,1
40,2012,Benton,29
41,2012,Burlington,1
42,2012,Chelan,6
43,2012,Clallam,20
44,2012,Clark,118
45,2012,Cowlitz,17
46,2012,Douglas,7
47,2012,Ferry,1
48,2012,Franklin,7
49,2012,Grant,14
50,2012,Grays Harbor,8
51,2012,Island,28
52,2012,Jefferson,18
53,2012,King,490
54,2012,Kitsap,71
55,2012,Kittitas,7
56,2012,Klickitat,4
57,2012,Lewis,12
58,2012,Mason,15
59,2012,Okanogan,6
60,2012,Pacific,4
61,2012,Penobscot,1
62,2012,Pierce,139
63,2012,San Juan,23
64,2012,Skagit,30
65,2012,Skamania,1
66,2012,Snohomish,142
67,2012,Spokane,56
68,2012,Stevens,6
69,2012,Thurston,65
70,2012,Travis,2
71,2012,Walla Walla,9
72,2012,Whatcom,60
73,2012,Whitman,3
74,2012,Yakima,25
75,2013,Adams,1
76,2013,Asotin,2
77,2013,Benton,65
78,2013,Chelan,17
79,2013,Clallam,54
80,2013,Clark,288
81,2013,Cowlitz,22
82,2013,Douglas,18
83,2013,Franklin,25
84,2013,Grant,12
85,2013,Grays Harbor,25
86,2013,Island,58
87,2013,Jefferson,46
88,2013,King,1694
89,2013,Kitsap,170
90,2013,Kittitas,16
